loss
2.60911
-49.108
-52.5845
-54.1487
6.68252
-53.4003
-55.8052
-58.6266
-57.4591
-59.7089
-60.0084
-60.6607
-60.767
-64.9963
-62.9936
-62.5864
-62.0133
-61.5218
-65.871
-65.8786
-66.5842
-63.8329
-68.5322
-66.5296
-67.9087
-69.4599
-69.6356
-69.2346
-71.1472
-69.4531
-71.84
-71.0043
-70.0545
-69.4335
-72.8155
-73.6683
-72.8004
-69.5867
-72.3626
