loss
7.16821
-26.9483
-43.9916
-48.5249
-51.6675
-54.7348
-57.5725
-60.0224
-63.0979
-65.457
-67.0327
-68.1436
-69.1952
-69.7337
-69.0201
-69.3833
-69.6036
-70.1755
-69.893
-70.6837
-70.7761
-70.9689
-70.9482
-71.7113
-72.1734
-72.1974
-72.5209
-72.6407
-73.0685
-73.1201
-73.5091
-73.7801
