loss
26.4667
26.4098
18.609
-6.89067
-26.6887
-36.6317
-41.4905
-43.9743
-47.0229
-48.5212
-50.9015
-52.2976
-52.9778
-53.6206
-54.8876
-55.2239
-55.6539
-55.9725
-55.857
-56.4835
-56.6864
-56.9583
-56.6155
-56.9542
-57.081
-56.9028
-57.1363
-57.3475
-57.3464
-57.4285
-57.5446
-57.4658
